Rank,TZ,DAIO,Yr,mvts
Base,NM Area,I,2010,1878450
Base,NM Area,I,2011,8073781
Base,NM Area,I,2012,7801692
Base,NM Area,I,2013,7626278
Base,NM Area,I,2014,7739778
Base,NM Area,I,2015,7888906
Base,NM Area,I,2016,8183733
Base,NM Area,I,2017,8501893
Base,NM Area,I,2018,8893604
Base,NM Area,I,2019,8950318
Base,NM Area,I,2020,4050524
Base,NM Area,I,2021,5052462
Base,NM Area,I,2022,7620829
Base,NM Area,I,2023,8223360
Base,NM Area,I,2024,8624558.039
Base,NM Area,I,2025,8861846.483
Base,NM Area,I,2026,9032217.589
Base,NM Area,I,2027,9200714.089
Base,NM Area,I,2028,9391218.618
Base,NM Area,I,2029,9529659.226
Base,NM Area,I,2030,9665160.726
Base,NM Area,TI,2010,1878450
Base,NM Area,TI,2011,8073781
Base,NM Area,TI,2012,7801692
Base,NM Area,TI,2013,7626278
Base,NM Area,TI,2014,7739778
Base,NM Area,TI,2015,7888906
Base,NM Area,TI,2016,8183733
Base,NM Area,TI,2017,8501893
Base,NM Area,TI,2018,8893604
Base,NM Area,TI,2019,8950318
Base,NM Area,TI,2020,4050524
Base,NM Area,TI,2021,5052462
Base,NM Area,TI,2022,7620829
Base,NM Area,TI,2023,8223360
Base,NM Area,TI,2024,8624558.039
Base,NM Area,TI,2025,8861846.483
Base,NM Area,TI,2026,9032217.589
Base,NM Area,TI,2027,9200714.089
Base,NM Area,TI,2028,9391218.618
Base,NM Area,TI,2029,9529659.226
Base,NM Area,TI,2030,9665160.726
Base,NM Area,AD,2010,429478
Base,NM Area,AD,2011,1726178
Base,NM Area,AD,2012,1757384
Base,NM Area,AD,2013,1810733
Base,NM Area,AD,2014,1861325
Base,NM Area,AD,2015,1869188
Base,NM Area,AD,2016,1879200
Base,NM Area,AD,2017,1982745
Base,NM Area,AD,2018,2004702
Base,NM Area,AD,2019,2042750
Base,NM Area,AD,2020,880745
Base,NM Area,AD,2021,1099721
Base,NM Area,AD,2022,1531417
Base,NM Area,AD,2023,1812546
Base,NM Area,AD,2024,1945239.735
