Rank,TZ,DAIO,Yr,mvts
Base,Albania,AD,2013,19913
Base,Albania,AD,2014,18052
Base,Albania,AD,2015,20889
Base,Albania,AD,2016,22298
Base,Albania,AD,2017,24550
Base,Albania,AD,2018,25507
Base,Albania,AD,2019,28432
Base,Albania,AD,2020,15278
Base,Albania,AD,2021,26252
Base,Albania,AD,2022,38914
Base,Albania,AD,2023,43726.10295
Base,Albania,AD,2024,47520.08524
Base,Albania,AD,2025,49849.10845
Base,Albania,AD,2026,51665.8841
Base,Albania,AD,2027,53341.99282
Base,Albania,AD,2028,55066.65461
Base,Albania,AD,2029,56486.95692
Base,Albania,TAD,2005,16611
Base,Albania,TAD,2006,16814
Base,Albania,TAD,2007,18953
Base,Albania,TAD,2008,19796
Base,Albania,TAD,2009,20627
Base,Albania,TAD,2010,21015
Base,Albania,TAD,2011,22918
Base,Albania,TAD,2012,20537
Base,Albania,TAD,2013,19913
Base,Albania,TAD,2014,18052
Base,Albania,TAD,2015,20889
Base,Albania,TAD,2016,22298
Base,Albania,TAD,2017,24550
Base,Albania,TAD,2018,25507
Base,Albania,TAD,2019,28432
Base,Albania,TAD,2020,15278
Base,Albania,TAD,2021,26252
Base,Albania,TAD,2022,38914
Base,Albania,TAD,2023,43726.10295
Base,Albania,TAD,2024,47520.08524
Base,Albania,TAD,2025,49849.10845
Base,Albania,TAD,2026,51665.8841
Base,Albania,TAD,2027,53341.99282
Base,Albania,TAD,2028,55066.65461
Base,Albania,TAD,2029,56486.95692
Base,Albania,O,2005,99417
Base,Albania,O,2006,102333
Base,Albania,O,2007,122896
Base,Albania,O,2008,128417
Base,Albania,O,2009,140774
Base,Albania,O,2010,160369
Base,Albania,O,2011,174332
Base,Albania,O,2012,174555
Base,Albania,O,2013,180662
Base,Albania,O,2014,180356
Base,Albania,O,2015,181091
Base,Albania,O,2016,164499
Base,Albania,O,2017,169318
Base,Albania,O,2018,180150
Base,Albania,O,2019,192297
Base,Albania,O,2020,86402
Base,Albania,O,2021,127737
Base,Albania,O,2022,211110
Base,Albania,O,2023,218974.3829
Base,Albania,O,2024,245108.3755
Base,Albania,O,2025,250881.243
Base,Albania,O,2026,255533.3536
Base,Albania,O,2027,259792.5413
Base,Albania,O,2028,264369.507
Base,Albania,O,2029,267493.8265
Base,Albania,TO,2005,99417
Base,Albania,TO,2006,102333
Base,Albania,TO,2007,122896
Base,Albania,TO,2008,128417
Base,Albania,TO,2009,140774
Base,Albania,TO,2010,160369
Base,Albania,TO,2011,174332
Base,Albania,TO,2012,174555
Base,Albania,TO,2013,180662
Base,Albania,TO,2014,180356
Base,Albania,TO,2015,181091
Base,Albania,TO,2016,164499
Base,Albania,TO,2017,169318
Base,Albania,TO,2018,180150
Base,Albania,TO,2019,192297
Base,Albania,TO,2020,86402
Base,Albania,TO,2021,127737
Base,Albania,TO,2022,211110
Base,Albania,TO,2023,218974.3829
Base,Albania,TO,2024,245108.3755
Base,Albania,TO,2025,250881.243
Base,Albania,TO,2026,255533.3536
Base,Albania,TO,2027,259792.5413
Base,Albania,TO,2028,264369.507
Base,Albania,TO,2029,267493.8265
Base,Albania,T,2005,116028
Base,Albania,T,2006,119150
Base,Albania,T,2007,141851
Base,Albania,T,2008,148213
Base,Albania,T,2009,161402
Base,Albania,T,2010,181386
Base,Albania,T,2011,197265
Base,Albania,T,2012,195094
Base,Albania,T,2013,200578
Base,Albania,T,2014,198410
Base,Albania,T,2015,201990
Base,Albania,T,2016,186806
Base,Albania,T,2017,193872
Base,Albania,T,2018,205661
Base,Albania,T,2019,220763
Base,Albania,T,2020,101685
Base,Albania,T,2021,154016
Base,Albania,T,2022,250093
Base,Albania,T,2023,262766.424
Base,Albania,T,2024,292702.9657
Base,Albania,T,2025,300809.9795
Base,Albania,T,2026,307282.5117
Base,Albania,T,2027,313221.1113
Base,Albania,T,2028,319526.0886
Base,Albania,T,2029,324073.3963
Base,Armenia,I,2006,2
