country,scenario,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Santa Maria FIR,High,,,,,176,191,201,210,219,227,234
Santa Maria FIR,Base,167,78,99,159,173,187,193,198,203,207,211
Santa Maria FIR,Low,,,,,171,183,185,186,187,189,190
Serbia/Montenegro,High,,,,,888,965,"1,001","1,035","1,069","1,099","1,124"
Serbia/Montenegro,Base,764,337,476,780,876,944,965,981,995,"1,010","1,020"
Serbia/Montenegro,Low,,,,,864,921,925,923,919,920,917
Slovakia,High,,,,,534,587,613,639,665,688,708
Slovakia,Base,562,201,271,470,525,570,586,599,610,622,631
Slovakia,Low,,,,,515,551,556,557,557,559,559
Slovenia,High,,,,,487,523,542,561,579,595,608
Slovenia,Base,460,195,279,453,479,510,522,531,538,547,552
Slovenia,Low,,,,,471,495,498,497,495,495,494
Spain**,High,,,,,"2,207","2,339","2,463","2,581","2,687","2,768","2,823"
Spain**,Base,"2,152",854,"1,192","1,984","2,174","2,279","2,356","2,420","2,474","2,525","2,556"
Spain**,Low,,,,,"2,141","2,211","2,234","2,246","2,250","2,264","2,260"
Spain-Canaries,High,,,,,394,417,432,446,461,472,481
Spain-Canaries,Base,358,173,220,352,389,408,416,423,428,433,436
Spain-Canaries,Low,,,,,383,397,397,396,394,394,391
Spain-Continental,High,,,,,"2,067","2,199","2,319","2,432","2,534","2,612","2,665"
Spain-Continental,Base,"2,018",780,"1,107","1,867","2,035","2,142","2,217","2,281","2,335","2,384","2,416"
Spain-Continental,Low,,,,,"2,004","2,077","2,102","2,116","2,122","2,137","2,136"
Sweden,High,,,,,673,746,776,802,827,849,866
Sweden,Base,823,351,380,585,663,729,744,757,768,779,786
Sweden,Low,,,,,652,708,711,711,709,710,708
Switzerland,High,,,,,"1,130","1,235","1,282","1,321","1,356","1,384","1,405"
Switzerland,Base,"1,177",477,623,"1,042","1,112","1,203","1,232","1,250","1,265","1,280","1,289"
Switzerland,Low,,,,,"1,095","1,167","1,176","1,173","1,168","1,169","1,163"
Türkiye,High,,,,,"1,603","1,724","1,802","1,881","1,960","2,037","2,109"
Türkiye,Base,"1,547",693,"1,011","1,391","1,581","1,683","1,729","1,770","1,809","1,854","1,892"
Türkiye,Low,,,,,"1,558","1,633","1,645","1,650","1,653","1,668","1,676"
UK,High,,,,,"2,453","2,609","2,689","2,758","2,821","2,875","2,916"
UK,Base,"2,580","1,029","1,063","2,137","2,422","2,561","2,608","2,644","2,673","2,703","2,723"
UK,Low,,,,,"2,390","2,502","2,514","2,517","2,513","2,518","2,513"
Ukraine,High,,,,,1,1,1,1,1,1,1
Ukraine,Base,306,125,212,30,1,1,1,1,1,1,1
Ukraine,Low,,,,,0,0,0,0,0,0,0
ECAC,High,,,,,"10,420","11,175","11,591","11,975","12,340","12,659","12,908"
